('correctli', 2) 1
('corrod', -1) 1
('corros', -1) 2
('corrupt', -2) 3
('cost-effect', 1) 1
('cost-sav', 1) 1
('costli', -1) 1
('could', 0) 1
('counterproduct', -2) 1
('coupist', -2) 2
('courag', 2) 5
('court', 2) 1
('courteou', 2) 1
('courtesi', 2) 1
('courtli', 2) 1
('coven', 1) 1
('covert', 0) 1
('covet', 0) 3
('covetingli', 0) 1
('covet', -2) 2
('cow', -1) 1
('coward', -2) 1
('cowardli', -2) 1
('cozi', 2) 1
('crackdown', -1) 2
('crafti', -2) 1
('cramp', -1) 1
('cranki', -2) 1
('crass', -2) 1
('crave', 2) 2
('craven', -2) 1
('cravenli', -2) 1
('craze', -2) 1
('crazili', -2) 1
('crazi', -2) 2
('creativ', 2) 1
('credenc', 2) 2
('credibl', 2) 1
('credul', -2) 1
('crime', -1) 1
('crimin', -1) 1
('cring', -2) 1
('crippl', -2) 2
('crisi', -1) 2
('crisp', 1) 1
('critic', -2) 9
('crook', -2) 2
('cross', -2) 1
('crowd', -1) 1
('crude', -1) 1
('cruel', -2) 1
('cruelti', -2) 2
('crumbl', -1) 1
('crumpl', -1) 1
('crusad', 2) 3
('crush', -1) 2
('cry', -2) 1
('culpabl', -2) 1
('cuplrit', -2) 1
('cumbersom', -2) 1
('cure-al', 2) 2
('curiou', 2) 1
('curious', 2) 1
('curs', -2) 5
('cursori', -1) 1
('curt', -1) 1
('cuss', -2) 1
('cut', -1) 1
('cute', 2) 1
('cutthroat', -2) 1
('cynic', -2) 2
('damag', -1) 3
('damn', -2) 5
('damnabl', -2) 2
('damnat', -2) 1
('danc', 1) 2
('danger', -1) 3
('danger', -2) 2
('dangl', -2) 1
('dare', 2) 2
('daringli', 2) 1
('dark', -1) 2
('darken', -1) 1
('darl', 2) 1
('darn', -2) 1
('dash', -1) 1
('dash', 2) 1
('dastard', -2) 1
('dastardli', -2) 1
('daunt', -2) 2
('dauntingli', -2) 1
('dauntless', 2) 1
('dawdl', -2) 1
('dawn', 1) 1
('daydream', 2) 2
('daze', -2) 2
